iverilog -tvvp -c hack_no_ram.vf -o hack_no_ram.vvp -v > hack_no_ram.log
vvp hack_no_ram.vvp
WARNING: ../rom4k.v:12: $readmemb(../rom.mem): Not enough words in the file for the requested range [0:4095].
VCD info: dumpfile hack_no_ram.vcd opened for output.
                   0: pc =     1, instruction = 1110110000010000, inM = xxxx, outM = 2345, addressM = 2345, writeM = 0
                   2: pc =     0, instruction = 0010001101000101, inM = xxxx, outM = dcba, addressM = 2345, writeM = 0
                   4: pc =     1, instruction = 1110110000010000, inM = xxxx, outM = 2345, addressM = 2345, writeM = 0
                   6: pc =     2, instruction = 0001001000110100, inM = xxxx, outM = 0000, addressM = 2345, writeM = 0
                   8: pc =     3, instruction = 1110101010001000, inM = xxxx, outM = 0000, addressM = 1234, writeM = 1
                  10: pc =     4, instruction = 1110111111001000, inM = xxxx, outM = 0001, addressM = 1234, writeM = 1
                  12: pc =     5, instruction = 1110111010001000, inM = xxxx, outM = ffff, addressM = 1234, writeM = 1
                  14: pc =     6, instruction = 1110001100001000, inM = xxxx, outM = 2345, addressM = 1234, writeM = 1
                  16: pc =     7, instruction = 1110110000001000, inM = xxxx, outM = 1234, addressM = 1234, writeM = 1
                  18: pc =     8, instruction = 1110001101001000, inM = xxxx, outM = dcba, addressM = 1234, writeM = 1
                  20: pc =     9, instruction = 1110110001001000, inM = xxxx, outM = edcb, addressM = 1234, writeM = 1
                  22: pc =    10, instruction = 1110001111001000, inM = xxxx, outM = dcbb, addressM = 1234, writeM = 1
                  24: pc =    11, instruction = 1110110011001000, inM = xxxx, outM = edcc, addressM = 1234, writeM = 1
                  26: pc =    12, instruction = 1110011111001000, inM = xxxx, outM = 2346, addressM = 1234, writeM = 1
                  28: pc =    13, instruction = 1110110111001000, inM = xxxx, outM = 1235, addressM = 1234, writeM = 1
                  30: pc =    14, instruction = 1110001110001000, inM = xxxx, outM = 2344, addressM = 1234, writeM = 1
                  32: pc =    15, instruction = 1110110010001000, inM = xxxx, outM = 1233, addressM = 1234, writeM = 1
                  34: pc =    16, instruction = 1110000010001000, inM = xxxx, outM = 3579, addressM = 1234, writeM = 1
                  36: pc =    17, instruction = 1110010011001000, inM = xxxx, outM = 1111, addressM = 1234, writeM = 1
                  38: pc =    18, instruction = 1110000111001000, inM = xxxx, outM = eeef, addressM = 1234, writeM = 1
                  40: pc =    19, instruction = 1110000000001000, inM = xxxx, outM = 0204, addressM = 1234, writeM = 1
                  42: pc =    20, instruction = 1110010101001000, inM = xxxx, outM = 3375, addressM = 1234, writeM = 1
                  44: pc =    21, instruction = 1111110000001000, inM = xxxx, outM = xxxx, addressM = 1234, writeM = 1
                  46: pc =    22, instruction = 1111110001001000, inM = 0000, outM = ffff, addressM = 1234, writeM = 1
                  48: pc =    23, instruction = 1111110011001000, inM = 0000, outM = 0000, addressM = 1234, writeM = 1
                  50: pc =    24, instruction = 1111110111001000, inM = 0001, outM = 0002, addressM = 1234, writeM = 1
                  52: pc =    25, instruction = 1111110010001000, inM = 0001, outM = 0000, addressM = 1234, writeM = 1
                  54: pc =    26, instruction = 1111000010001000, inM = 0002, outM = 2347, addressM = 1234, writeM = 1
                  56: pc =    27, instruction = 1111010011001000, inM = 0001, outM = 2344, addressM = 1234, writeM = 1
                  58: pc =    28, instruction = 1111000111001000, inM = 1234, outM = eeef, addressM = 1234, writeM = 1
